Name,Score,Review,Link,Addr
이주원 함흥냉면돌솥갈비탕,3.0,0,https://place.map.kakao.com/1651396469,"
서울 관악구 봉천로 190
(지번) 신림동 1445-14
"
굴국밥 함흥냉면,0.0,0,https://place.map.kakao.com/23387942,"
서울 영등포구 영등포로 199
(지번) 영등포동6가 80-2
"
이함흥냉면,3.6,11,https://place.map.kakao.com/21296237,"
서울 강서구 강서로5다길 9
(지번) 화곡동 908-16
"
한솔냉면 현대백화점 목동점,0.0,1,https://place.map.kakao.com/1700839491,"
서울 양천구 목동동로 257 지하2층
(지번) 목동 916
"
불쌈냉면,0.0,0,https://place.map.kakao.com/929557377,"
서울 영등포구 선유동1로2길 5 1층
(지번) 당산동2가 90
"
보니따 양천점,0.0,0,https://place.map.kakao.com/5128640,"
서울 양천구 은행정로4길 5-1 1층
(지번) 신정동 1019-14
"
함북칡냉면&1인쌈밥,0.0,0,https://place.map.kakao.com/1293764866,"
서울 양천구 은행정로7길 10
(지번) 신정동 980-4
"
쿨냉면관,5.0,0,https://place.map.kakao.com/27295368,"
서울 영등포구 영신로 3
(지번) 도림동 1-28
"
삼오냉면 신정점,0.0,0,https://place.map.kakao.com/16094391,"
서울 양천구 중앙로43길 7
(지번) 신정동 1183-1
"
고향냉면,0.0,0,https://place.map.kakao.com/16795301,"
서울 영등포구 신길로 182
(지번) 신길동 223-7
"
오장면옥,2.9,11,https://place.map.kakao.com/11185273,"
서울 관악구 봉천로 227
(지번) 봉천동 972-5
"
본가칡냉면,4.6,5,https://place.map.kakao.com/9046362,"
서울 구로구 경인로 18
(지번) 오류동 108-75
"
함흥냉면,4.8,0,https://place.map.kakao.com/814737941,"
서울 관악구 봉천로 227 1층
(지번) 봉천동 972-5
"
씨원냉면,0.0,0,https://place.map.kakao.com/1840936377,"
서울 동작구 여의대방로24길 22
(지번) 신대방동 362-17
"
팔공냉면,0.0,0,https://place.map.kakao.com/1272441362,"
서울 관악구 조원로 160
(지번) 신림동 469
"
귀빈면옥,0.0,0,https://place.map.kakao.com/21414074,"
서울 영등포구 영중로 9 신세계백화점 영등포점 A관 지하1층
(지번) 영등포동4가 434-5
"
왕돈까스&왕냉면 목동점,2.5,9,https://place.map.kakao.com/26782031,"
서울 강서구 등촌로 25
(지번) 화곡동 781-1
"
이박사냉면,3.0,1,https://place.map.kakao.com/18206218,"
서울 관악구 난우길 24-1
(지번) 신림동 601-13
"
화평동세숫대야냉면,0.0,0,https://place.map.kakao.com/1308061435,"
서울 구로구 오리로 1281 1층
(지번) 궁동 285-2
"
청년냉면,0.0,0,https://place.map.kakao.com/817063273,"
서울 금천구 범안로 1236
(지번) 독산동 1032-3
"
